ISIN,Code,SYMBOL,SERIES,EXCH
INE376G01013,BIOCON,BIOCON,EQ,NSE
INE340A01012,BIRLACORPN,BIRLACORPN,EQ,NSE
INE557A01011,BIRLANU,BIRLANU,EQ,NSE
INF209KC1134,ABGSEC,ABGSEC,EQ,NSE
INF209KB17D5,ABSLBANETF,ABSLBANETF,EQ,NSE
INF209KB18T9,ABSLLIQUID,ABSLLIQUID,EQ,NSE
INF209KB16D7,ABSLNN50ET,ABSLNN50ET,EQ,NSE
INF209KB10E8,BSLSENETFG,BSLSENETFG,EQ,NSE
INF209KB10C2,HEALTHY,HEALTHY,EQ,NSE
INF209KB14K7,MOMENTUM,MOMENTUM,EQ,NSE
INF209KB15K4,NIFTYQLITY,NIFTYQLITY,EQ,NSE
INF209KB19F6,SILVER,SILVER,EQ,NSE
INF209KB11D8,TECH,TECH,EQ,NSE
INF209KB19Z4,ABSLPSE,ABSLPSE,EQ,NSE
INE836A01035,BSOFT,BSOFT,EQ,NSE
INE791A01024,BLBLIMITED,BLBLIMITED,EQ,NSE
INE416D01022,BLISSGVS,BLISSGVS,EQ,NSE
INE153T01027,BLS,BLS,EQ,NSE
INE233B01017,BLUEDART,BLUEDART,EQ,NSE
INE0KBH01020,BLUEJET,BLUEJET,EQ,NSE
INE0SAK01011,BLUEPEBBLE,BLUEPEBBLE,SM,NSE
INE472A01039,BLUESTARCO,BLUESTARCO,EQ,NSE
INE0X3M01010,BLUEWATER,BLUEWATER,SM,NSE
INE304W01038,BLUESTONE,BLUESTONE,EQ,NSE
INE0U4101014,BLUSPRING,BLUSPRING,EQ,NSE
INE338D01028,BODALCHEM,BODALCHEM,EQ,NSE
INE0EEJ01023,BTML,BTML,EQ,NSE
INE802W01023,BOHRAIND,BOHRAIND,EQ,NSE
INE050A01025,BBTC,BBTC,EQ,NSE
INE032A01023,BOMDYEING,BOMDYEING,EQ,NSE
INE0I3Y01014,BMETRICS,BMETRICS,SM,NSE
INE032Z01020,BSHSL,BSHSL,EQ,NSE
INE16SF01016,BORANA,BORANA,EQ,NSE
INE02PY01013,BOROLTD,BOROLTD,EQ,NSE
INE666D01022,BORORENEW,BORORENEW,EQ,NSE
INE02L001032,BOROSCI,BOROSCI,EQ,NSE
INE323A01026,BOSCHLTD,BOSCHLTD,EQ,NSE
INE0QNI01012,BOSS,BOSS,SM,NSE
INE110A01019,BPL,BPL,EQ,NSE
INE02RE01045,FIRSTCRY,FIRSTCRY,EQ,NSE
INE977Y01011,BCONCEPTS,BCONCEPTS,EQ,NSE
INE791I01019,BRIGADE,BRIGADE,EQ,NSE
INE03NU01014,BRIGHOTEL,BRIGHOTEL,EQ,NSE
INE425B01027,BCG,BCG,EQ,NSE
INE216A01030,BRITANNIA,BRITANNIA,EQ,NSE
INE0FDU25010,BIRET,BIRET,RR,NSE
INE118H01025,BSE,BSE,EQ,NSE
INE594B01012,BSL,BSL,EQ,NSE
INE295F01017,BUTTERFLY,BUTTERFLY,EQ,NSE
INE0SZ301012,BULKCORP,BULKCORP,ST,NSE
INE0BV301023,MAPMYINDIA,MAPMYINDIA,EQ,NSE
INE0U7V01015,C2C,C2C,SM,NSE
INE090Y01013,CADSYS,CADSYS,SM,NSE
INE278Y01022,CAMPUS,CAMPUS,EQ,NSE
INE477A01020,CANFINHOME,CANFINHOME,EQ,NSE
INE476A01022,CANBK,CANBK,EQ,NSE
INE0QG301017,CANARYS,CANARYS,SM,NSE
INE068L01024,CANTABIL,CANTABIL,EQ,NSE
INE264T01014,CAPACITE,CAPACITE,EQ,NSE
INE345H01024,CIFL,CIFL,EQ,NSE
INE646H01017,CAPITALSFB,CAPITALSFB,EQ,NSE
INE475E01026,CAPLIPOINT,CAPLIPOINT,EQ,NSE
INE180C01042,CGCL,CGCL,EQ,NSE
INE120A01034,CARBORUNIV,CARBORUNIV,EQ,NSE
INE752H01013,CARERATING,CARERATING,EQ,NSE
INE0V7W01012,CARRARO,CARRARO,EQ,NSE
INE290S01011,CARTRADE,CARTRADE,EQ,NSE
INE482D01024,CARYSIL,CARYSIL,EQ,NSE
INE0WL201014,CUDML,CUDML,SM,NSE
INE172A01027,CASTROLIND,CASTROLIND,EQ,NSE
INE421D01022,CCL,CCL,EQ,NSE
INE482A01020,CEATLTD,CEATLTD,EQ,NSE
INE11J101017,CEDAAR,CEDAAR,SM,NSE
INE0AG901020,CEIGALL,CEIGALL,EQ,NSE
INE185H01016,CELEBRITY,CELEBRITY,EQ,NSE
INE0O0001013,CELLPOINT,CELLPOINT,SM,NSE
INE0OMO01025,CELLECOR,CELLECOR,SM,NSE
INE0LMW01024,CELLO,CELLO,EQ,NSE
INE483A01010,CENTRALBK,CENTRALBK,EQ,NSE
INE736A01011,CDSL,CDSL,EQ,NSE
INE320B01020,CENTUM,CENTUM,EQ,NSE
INE485A01015,CENTENKA,CENTENKA,EQ,NSE
INE281A01026,CENTEXT,CENTEXT,EQ,NSE
INE348B01021,CENTURYPLY,CENTURYPLY,EQ,NSE
INE739E01017,CERA,CERA,EQ,NSE
INE345B01019,CEREBRAINT,CEREBRAINT,BZ,NSE
INE486A01021,CESC,CESC,EQ,NSE
INE067A01029,CGPOWER,CGPOWER,EQ,NSE
INE427F01016,CHALET,CHALET,EQ,NSE
INE419D01026,CLSEL,CLSEL,EQ,NSE
INE06PV01010,CMNL,CMNL,SM,NSE
INE085A01013,CHAMBLFERT,CHAMBLFERT,EQ,NSE
INE11HG01018,CHAMUNDA,CHAMUNDA,ST,NSE
INE0B2N01016,CHANDAN,CHANDAN,ST,NSE
INE0PT101017,CHAVDA,CHAVDA,SM,NSE
INE0TGX01019,CHEMBONDCH,CHEMBONDCH,EQ,NSE
INE995D01025,CHEMBOND,CHEMBOND,EQ,NSE
INE03YM01018,CHEMCON,CHEMCON,EQ,NSE
INE783X01023,CHEMFAB,CHEMFAB,EQ,NSE
INE488A01050,CHEMPLASTS,CHEMPLASTS,EQ,NSE
INE178A01016,CHENNPETRO,CHENNPETRO,EQ,NSE
INE0U1T01012,CHETANA,CHETANA,SM,NSE
INE974B01016,CHEVIOT,CHEVIOT,EQ,NSE
INE102B01014,CHOICEIN,CHOICEIN,EQ,NSE
INE149A01033,CHOLAHLDNG,CHOLAHLDNG,EQ,NSE
INE121A01024,CHOLAFIN,CHOLAFIN,BL,NSE
INE536H01010,CIEINDIA,CIEINDIA,EQ,NSE
INE675C01017,CIGNITITEC,CIGNITITEC,EQ,NSE
INE704H01022,CINELINE,CINELINE,EQ,NSE
INE059A01026,CIPLA,CIPLA,EQ,NSE
INE491A01021,CUB,CUB,EQ,NSE
INE201M01029,CLEDUCATE,CLEDUCATE,EQ,NSE
INE0UQ601012,CLASSICEIL,CLASSICEIL,ST,NSE
