ISIN,Code,SYMBOL,SERIES,EXCH,SYMBOL2,,Symbol3
INE305C01029,PANAMAPET,PANAMAPET,EQ,NSE,PANAMAPET,,PANAMAPET.NS
INE697V01011,PANSARI,PANSARI,EQ,NSE,PANSARI,,PANSARI.NS
INE088F01024,PARADEEP,PARADEEP,EQ,NSE,PARADEEP,,PARADEEP.NS
INE883N01014,PARAGMILK,PARAGMILK,EQ,NSE,PARAGMILK,,PARAGMILK.NS
INE0N4G01012,PARAGON,PARAGON,SM,NSE,PARAGON,,PARAGON.NS
INE0S2W01018,PARAMATRIX,PARAMATRIX,SM,NSE,PARAMATRIX,,PARAMATRIX.NS
INE074B01023,PARACABLES,PARACABLES,EQ,NSE,PARACABLES,,PARACABLES.NS
INE0Q6001012,PSFL,PSFL,SM,NSE,PSFL,,PSFL.NS
INE45601023,PARAS,PARAS,EQ,NSE,PARAS,,PARAS.NS
INE162C01024,PARASPETRO,PARASPETRO,EQ,NSE,PARASPETRO,,PARASPETRO.NS
INE00U801010,PARIN,PARIN,SM,NSE,PARIN,,PARIN.NS
INE988S01028,PARKHOTELS,PARKHOTELS,EQ,NSE,PARKHOTELS,,PARKHOTELS.NS
INE1H7V01011,PARTH,PARTH,ST,NSE,PARTH,,PARTH.NS
INE06ZX01015,PARTYCRUS,PARTYCRUS,SM,NSE,PARTYCRUS,,PARTYCRUS.NS
INE124Y01010,PASHUPATI,PASHUPATI,EQ,NSE,PASHUPATI,,PASHUPATI.NS
INE818B01023,PASUPTAC,PASUPTAC,EQ,NSE,PASUPTAC,,PASUPTAC.NS
INE619A01035,PATANJALI,PATANJALI,EQ,NSE,PATANJALI,,PATANJALI.NS
INE244B01030,PATELENG,PATELENG,EQ,NSE,PATELENG,,PATELENG.NS
INE529D01014,PATINTLOG,PATINTLOG,EQ,NSE,PATINTLOG,,PATINTLOG.NS
INE17GV01016,PATILAUTOM,PATILAUTOM,SM,NSE,PATILAUTOM,,PATILAUTOM.NS
INE0NZW01014,PATTECH,PATTECH,ST,NSE,PATTECH,,PATTECH.NS
INE07S101038,PAVNAIND,PAVNAIND,EQ,NSE,PAVNAIND,,PAVNAIND.NS
INE417T01026,POLICYBZR,POLICYBZR,BL,NSE,POLICYBZR,,POLICYBZR.NS
INE785M01021,PCJEWELLER,PCJEWELLER,EQ,NSE,PCJEWELLER,,PCJEWELLER.NS
INE602A01031,PCBL,PCBL,EQ,NSE,PCBL,,PCBL.NS
INE111Q01021,PDSL,PDSL,EQ,NSE,PDSL,,PDSL.NS
INE940H01022,PGIL,PGIL,EQ,NSE,PGIL,,PGIL.NS
INE844A01013,PEARLPOLY,PEARLPOLY,EQ,NSE,PEARLPOLY,,PEARLPOLY.NS
INE0VG601013,PELATRO,PELATRO,SM,NSE,PELATRO,,PELATRO.NS
INE138A01028,PENINLAND,PENINLAND,EQ,NSE,PENINLAND,,PENINLAND.NS
INE932A01024,PENIND,PENIND,EQ,NSE,PENIND,,PENIND.NS
INE0ORS01017,PENTAGON,PENTAGON,SM,NSE,PENTAGON,,PENTAGON.NS
INE262H01021,PERSISTENT,PERSISTENT,EQ,NSE,PERSISTENT,,PERSISTENT.NS
INE998U01015,PCCL,PCCL,SM,NSE,PCCL,,PCCL.NS
INE347G01014,PETRONET,PETRONET,EQ,NSE,PETRONET,,PETRONET.NS
INE182A01018,PFIZER,PFIZER,EQ,NSE,PFIZER,,PFIZER.NS
INE457L01029,PGEL,PGEL,EQ,NSE,PGEL,,PGEL.NS
INE0MLZ01019,PHANTOMFX,PHANTOMFX,ST,NSE,PHANTOMFX,,PHANTOMFX.NS
INE0FPO01018,PHOGLOBAL,PHOGLOBAL,SM,NSE,PHOGLOBAL,,PHOGLOBAL.NS
INE603J01030,PIIND,PIIND,EQ,NSE,PIIND,,PIIND.NS
INE546C01010,PICCADIL,PICCADIL,EQ,NSE,PICCADIL,,PICCADIL.NS
INE0YAL01017,PPSL,PPSL,ST,NSE,PPSL,,PPSL.NS
INE318A01026,PIDILITIND,PIDILITIND,EQ,NSE,PIDILITIND,,PIDILITIND.NS
INE417C01014,PILANIINVS,PILANIINVS,EQ,NSE,PILANIINVS,,PILANIINVS.NS
INE156C01018,PIONEEREMB,PIONEEREMB,EQ,NSE,PIONEEREMB,,PIONEEREMB.NS
INE140A01024,PEL,PEL,EQ,NSE,PEL,,PEL.NS
INE0DK501011,PPLPHARMA,PPLPHARMA,EQ,NSE,PPLPHARMA,,PPLPHARMA.NS
