SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
BSLNIFTY,EQ,28.2,28.95,28.2,28.53,28.57,28.61,2129339,61173381.60,02-Sep-2025,3979,INF209KB19D1
ADOR,EQ,972.5,989,967.45,981.15,981,967.45,10717,10486376.45,02-Sep-2025,2724,INE045A01017
ADROITINFO,EQ,10.55,10.77,10.25,10.69,10.7,10.55,17548,185182.55,02-Sep-2025,175,INE737B01033
ADVENZYMES,EQ,338,346.2,333.05,341.25,340.1,338.55,424021,144953267.15,02-Sep-2025,13574,INE837H01020
ADVANIHOTR,EQ,61.57,62.28,61.57,61.81,61.57,61.27,24229,1498087.79,02-Sep-2025,600,INE199C01026
AEGISLOG,EQ,694.95,704.9,684.95,691.5,690.65,694.95,158591,110120987.30,02-Sep-2025,10738,INE208C01025
AEGISVOPAK,EQ,243.85,248.6,242,243.35,243.45,242.87,224375,54780060.51,02-Sep-2025,7678,INE0INX01018
885AEL28,NB,1007.25,1007.25,1007.25,1007.25,1007.25,1007.25,408,410958.00,02-Sep-2025,1,INE423A07427
9AEL30,NE,1014,1017,1014,1017,1017,1014,218,221217.00,02-Sep-2025,4,INE423A07443
915AEL28,NC,1009.01,1009.01,1008,1008.32,1008,1008,280,282330.90,02-Sep-2025,5,INE423A07435
930AEL30,NF,1010,1010,1006.8,1007,1007,1007.76,6428,6476015.29,02-Sep-2025,52,INE423A07393
AEROENTER,EQ,88.99,90.6,87.67,89.28,89.1,88,88017,7881280.53,02-Sep-2025,1328,INE065D01027
AEROFLEX,EQ,175.47,177.91,174,174.62,175.2,174.77,370984,65266762.03,02-Sep-2025,9950,INE024001021
AERONEU,BE,100,104,100,103.03,103.05,99.5,11075,1137047.55,02-Sep-2025,232,INE035801013
AERON,SM,114,116.55,112.1,115.4,115.4,115,9000,1031450.00,02-Sep-2025,9,INE0WL801011
AESTHETIK,ST,118.05,118.05,118.05,118.05,118.05,119.2,2000,236100.00,02-Sep-2025,1,INE0TSF01011
AETHER,EQ,748.4,751,741.35,745.95,744.05,741.7,32729,24447763.60,02-Sep-2025,3239,INE0BWX01014
AFCONS,EQ,425.05,431.5,423.95,425.95,426.5,425.5,283285,121291290.70,02-Sep-2025,9840,INE101I01011
AFFLE,EQ,1911,1916.9,1895,1901,1897,1910.2,260917,496895529.60,02-Sep-2025,24293,INE00WC01027
AFFORDABLE,EQ,270,293.25,270,280,281.95,266.6,271234,77636517.85,02-Sep-2025,4544,INE692Z01013
