SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
522122,"VOITH PAPER FABRICS INDIA LTD.",X,STK,1910.6,1919.95,1903,1919.45,1919.5,1911.75,57,427,815987,
522134,"ARTSON LIMITED",XT,STK,168.05,172,167.5,168.4,168,168,29,4148,698033,
522152,"SOLITAIRE MACHINE TOOLS LTD.",X,STK,128.8,128.8,128.8,128.8,128.8,127,3,3,386,
522163,"DIAMOND POWER INFRASTRUCTURE L",B,STK,145.55,145.65,140.2,140.95,141,144.55,753,69030,9820841,
522165,"INDSIL HYDRO POWER AND MANGANE",XT,STK,49.95,50.85,47,47.36,49.46,48.61,216,41181,1979999,
522183,"ITL INDUSTRIES LTD.",X,STK,359,359,331.65,340.25,345,345.9,50,912,312557,
522195,"FRONTIER SPRINGS LTD.",X,STK,4802,4897.95,4750,4792.4,4792.4,4834.8,439,2547,12352591,
522205,"PRAJ INDUSTRIES LTD.",A,STK,424,424,400.2,402.05,402,412.6,1163,29934,12226686,
522207,"RASANDIK ENGINEERING INDUSTRIE",X,STK,85.2,88,85.2,85.56,85.56,87.65,23,490,42807,
522209,"YOGI SUNG-WON (INDIA) LTD.",XT,STK,14.45,14.75,14.03,14.7,14.7,14.51,34,6889,99971,
522215,"HLE GLASCOAT LIMITED",B,STK,532.85,547.65,524.2,527.8,525.5,534.4,652,18038,9626481,
522217,"GUJARAT APOLLO INDUSTRIES LTD.",T,STK,502.9,502.9,471.55,477.2,477.2,489.05,47,2102,1023260,
522229,"TANEJA AEROSPACE & AVIATION LT",X,STK,398.5,398.5,382.15,384.55,384.55,391.2,538,22277,8620899,
522231,"CONART ENGINEERS LTD.",X,STK,115,115,111.1,111.25,111.25,112,55,4712,525363,
522235,"MINAL INDUSTRIES LIMITED",X,STK,3.87,3.9,3.66,3.81,3.9,3.81,99,13452,51185,
522237,"SHIVAGRICO IMPLEMENTS LTD.",X,STK,27.99,27.99,27.02,27.76,27.99,26.56,21,3218,88703,
522241,"M.M.FORGINGS LTD.",B,STK,319,322,315.85,317,318.3,318.15,230,2509,799507,
522249,"MAYUR UNIQUOTERS LTD.",B,STK,543.15,547.75,532.8,534.95,533,529.3,280,3017,1627655,
522251,"CENLUB INDUSTRIES LTD.",X,STK,332.25,334.95,321.1,325.55,327.55,325.7,77,1307,429858,
522257,"RAJOO ENGINEERS LTD.",B,STK,102.8,102.8,99,99.7,99.7,100.75,1389,112479,11238219,
522261,"DOLPHIN OFFSHORE ENTERPRISES (",B,STK,429.15,429.15,417.25,429.1,429.15,429.15,99,504,213935,
522267,"VEEJAY LAKSHMI ENGINEERING WOR",X,STK,57.05,57.16,56,56,56,57.5,14,602,34365,
522273,"AHMEDABAD STEELCRAFT LTD.",X,STK,216,224.8,210.45,215.95,213,223.7,46,2257,492063,
522275,"GE Vernova T&D India Limited",A,STK,2869,2869,2700,2712.35,2712.35,2816.85,1132,7643,20958123,
522281,"RAM RATNA WIRES LTD.",B,STK,724.4,748,720.6,744.05,743.9,724.4,140,861,630482,
522285,"JAYASWAL NECO INDUSTRIES LTD.",B,STK,60.4,61.3,58.45,59.2,59.25,59.96,6035,3109333,187053067,
522287,"KALPATARU PROJECTS INTERNATION",A,STK,1265.85,1282.05,1254.45,1260,1262.1,1273.8,739,5413,6842604,
522289,"NMS RESOURCES GLOBAL LIMITED",XT,STK,78,78,70.68,70.68,70.68,74.4,74,549,40014,
522292,"CANDOUR TECHTEX LIMITED",X,STK,74.95,76.8,70.68,71.31,71.31,73.52,194,12992,952004,
522294,"T & I GLOBAL LTD.",X,STK,188.9,188.9,177.15,177.3,177.3,177.05,16,1546,274321,
522295,"CONTROL PRINT LTD.",B,STK,799,799,768.2,783.7,786.45,775.7,225,2597,2019196,
522650,"BEMCO HYDRAULICS LTD.",XT,STK,148,148,148,148,148,151,167,3086,456728,
523007,"ANSAL BUILDWELL LTD.",X,STK,110.45,112.75,108.7,109.3,109.3,111,19,1628,180035,
